#【时间】@AOW_var_[巨构简写]_[巨构阶段]_TIME
#【资源】@AOW_var_[巨构简写]_[巨构阶段]_[COST/UPKP/PRDC]_[具体资源]_[特定行星]
#【修正】@AOW_var_[巨构简写]_[巨构阶段]_[修正代码]


######################## 小型巨构 ########################

#星光竞技场
@AOW_var_STT_4_COST_energy = 10000
@AOW_var_STT_4_COST_unity = 5000
@AOW_var_STT_4_UPKP_energy = 100


#归墟
@AOW_var_VV_0_TIME = 1800
@AOW_var_VV_0_COST_alloys = 5000
@AOW_var_VV_0_COST_unity = 5000
@AOW_var_VV_0_UPKP_energy = 5
@AOW_var_VV_1_TIME = 2700
@AOW_var_VV_1_COST_alloys = 7500
@AOW_var_VV_1_COST_unity = 3000
@AOW_var_VV_1_UPKP_energy = 10
@AOW_var_VV_1_UPKP_alloys = 20
@AOW_var_VV_2_TIME = 2700
@AOW_var_VV_2_COST_alloys = 7500
@AOW_var_VV_2_COST_crystals = 250
@AOW_var_VV_2_COST_unity = 3000
@AOW_var_VV_2_PRDC_energy = 500
@AOW_var_VV_2_PRDC_physics = 150
@AOW_var_VV_2_PRDC_darkmatter = 10
@AOW_var_VV_2_UPKP_crystals = 6
@AOW_var_VV_3_TIME = 2700
@AOW_var_VV_3_COST_alloys = 7500
@AOW_var_VV_3_COST_crystals = 250
@AOW_var_VV_3_COST_unity = 3000
@AOW_var_VV_3_PRDC_energy = 1000
@AOW_var_VV_3_PRDC_physics = 300
@AOW_var_VV_3_PRDC_darkmatter = 20
@AOW_var_VV_3_UPKP_crystals = 12
@AOW_var_VV_4_TIME = 2700
@AOW_var_VV_4_COST_alloys = 7500
@AOW_var_VV_4_COST_crystals = 250
@AOW_var_VV_4_COST_unity = 3000
@AOW_var_VV_4_PRDC_energy = 1500
@AOW_var_VV_4_PRDC_physics = 450
@AOW_var_VV_4_PRDC_darkmatter = 30
@AOW_var_VV_4_UPKP_crystals = 18
@AOW_var_VV_5_TIME = 2700
@AOW_var_VV_5_COST_alloys = 7500
@AOW_var_VV_5_COST_crystals = 250
@AOW_var_VV_5_COST_unity = 3000
@AOW_var_VV_5_PRDC_energy = 2000
@AOW_var_VV_5_PRDC_physics = 600
@AOW_var_VV_5_PRDC_darkmatter = 40
@AOW_var_VV_5_UPKP_crystals = 24
@AOW_var_VV_6_TIME = 1800
@AOW_var_VV_6_COST_alloys = 7500
@AOW_var_VV_6_COST_unity = 5000
@AOW_var_VV_6_PRDC_energy = 2000
@AOW_var_VV_6_PRDC_physics = 600
@AOW_var_VV_6_PRDC_darkmatter = 50
@AOW_var_VV_6_UPKP_crystals = 30
@AOW_var_VVr_TIME = 5400
@AOW_var_VVr_COST_alloys = 15000
@AOW_var_VVr_COST_crystals = 500
@AOW_var_VVr_COST_unity = 7500
@AOW_var_VVrx_TIME = 3600
@AOW_var_VVrx_COST_alloys = 10000
@AOW_var_VVrx_COST_crystals = 250
@AOW_var_VVrx_COST_unity = 5000

#灵能井
@AOW_var_PD_0_TIME = 1800
@AOW_var_PD_0_COST_alloys = 5000
@AOW_var_PD_0_COST_unity = 5000
@AOW_var_PD_0_UPKP_energy = 5
@AOW_var_PD_1_TIME = 3600
@AOW_var_PD_1_COST_alloys = 7500
@AOW_var_PD_1_COST_zro = 250
@AOW_var_PD_1_COST_unity = 7000
@AOW_var_PD_1_UPKP_energy = 25
@AOW_var_PD_1_pop_government_ethic_attraction = 0.25
@AOW_var_PD_2_TIME = 3600
@AOW_var_PD_2_COST_alloys = 7500
@AOW_var_PD_2_COST_zro = 250
@AOW_var_PD_2_COST_unity = 7000
@AOW_var_PD_2_UPKP_energy = 50
@AOW_var_PD_2_pop_government_ethic_attraction = 0.5
@AOW_var_PD_3_TIME = 3600
@AOW_var_PD_3_COST_energy = 7500
@AOW_var_PD_3_COST_zro = 500
@AOW_var_PD_3_COST_unity = 7000
@AOW_var_PD_3_PRDC_darkmatter = 25
@AOW_var_PD_3_UPKP_energy = 100
@AOW_var_PD_3_UPKP_zro = 50
@AOW_var_PD_3_jobs_research_prdc_mult = 0.2
@AOW_var_PD_3_jobs_energy_prdc_mult = 0.2
@AOW_var_PD_3_pop_government_ethic_attraction = 1

#脉冲时记
@AOW_var_PC_0_TIME = 1800
@AOW_var_PC_0_COST_alloys = 5000
@AOW_var_PC_0_COST_unity = 5000
@AOW_var_PC_0_UPKP_energy = 5
@AOW_var_PC_1_TIME = 1800
@AOW_var_PC_1_COST_alloys = 7500
@AOW_var_PC_1_COST_unity = 5000
@AOW_var_PC_1_PRDC_unity = 125
@AOW_var_PC_1_UPKP_energy = 25
@AOW_var_PC_2_TIME = 3600
@AOW_var_PC_2_COST_alloys = 10000
@AOW_var_PC_2_COST_unity = 5000
@AOW_var_PC_2_PRDC_unity = 250
@AOW_var_PC_2_UPKP_energy = 50
@AOW_var_PC_3_TIME = 5400
@AOW_var_PC_3_COST_alloys = 12500
@AOW_var_PC_3_COST_unity = 5000
@AOW_var_PC_3_PRDC_unity = 500
@AOW_var_PC_3_UPKP_energy = 75
@AOW_var_PC_4_TIME = 1800
@AOW_var_PC_4_COST_energy = 12500
@AOW_var_PC_4_COST_unity = 5000
@AOW_var_PC_4_PRDC_unity = 1000
@AOW_var_PC_4_UPKP_energy = 100
@AOW_var_PCr_TIME = 5400
@AOW_var_PCr_COST_energy = 10000
@AOW_var_PCr_COST_alloys = 15000
@AOW_var_PCr_COST_unity = 7500

#曲率增压场
@AOW_var_CPF_0_TIME = 1800
@AOW_var_CPF_0_COST_alloys = 5000
@AOW_var_CPF_0_COST_unity = 5000
@AOW_var_CPF_0_UPKP_energy = 5
@AOW_var_CPF_1_TIME = 3600
@AOW_var_CPF_1_COST_alloys = 12500
@AOW_var_CPF_1_COST_unity = 7000
@AOW_var_CPF_1_UPKP_energy = 50
@AOW_var_CPF_2_TIME = 3600
@AOW_var_CPF_2_COST_alloys = 12500
@AOW_var_CPF_2_COST_unity = 7000
@AOW_var_CPF_2_UPKP_energy = 100
@AOW_var_CPF_3_TIME = 3600
@AOW_var_CPF_3_COST_unity = 7000
@AOW_var_CPF_3_COST_energy_BlackHole = 50000
@AOW_var_CPF_3_COST_energy_NeutronStar = 40000
@AOW_var_CPF_3_COST_energy_Pulsar = 45000
@AOW_var_CPF_3_COST_energy_Magnetar = 45000
@AOW_var_CPF_3_COST_darkmatter_BlackHole = 500
@AOW_var_CPF_3_COST_darkmatter_NeutronStar = 400
@AOW_var_CPF_3_COST_darkmatter_Pulsar= 450
@AOW_var_CPF_3_COST_darkmatter_Magnetar = 450

#零素熔炉
@AOW_var_ZEF_0_TIME = 1800
@AOW_var_ZEF_0_COST_alloys = 5000
@AOW_var_ZEF_0_COST_unity = 5000
@AOW_var_ZEF_0_UPKP_energy = 5
@AOW_var_ZEF_1_TIME = 3600
@AOW_var_ZEF_1_COST_alloys = 15000
@AOW_var_ZEF_1_COST_unity = 5000
@AOW_var_ZEF_1_UPKP_energy = 50
@AOW_var_ZEF_1_UPKP_energy_MultiStar = 10
@AOW_var_ZEF_1_UPKP_alloys_MultiStar = 10
@AOW_var_ZEF_2_TIME = 3600
@AOW_var_ZEF_2_COST_alloys = 15000
@AOW_var_ZEF_2_COST_unity = 5000
@AOW_var_ZEF_2_PRDC_alloys = 500
@AOW_var_ZEF_2_PRDC_engineering = 200
@AOW_var_ZEF_2_UPKP_energy = 100
@AOW_var_ZEF_2_UPKP_energy_MultiStar = 20
@AOW_var_ZEF_2_UPKP_alloys_MultiStar = 20
@AOW_var_ZEF_2_ship_hull_mult = 0.05
@AOW_var_ZEF_2_ship_armor_mult = 0.05
@AOW_var_ZEF_2_army_health = 0.1
@AOW_var_ZEF_3_TIME = 3600
@AOW_var_ZEF_3_COST_alloys = 15000
@AOW_var_ZEF_3_COST_unity = 5000
@AOW_var_ZEF_3_PRDC_alloys = 1000
@AOW_var_ZEF_3_PRDC_engineering = 400
@AOW_var_ZEF_3_UPKP_energy = 200
@AOW_var_ZEF_3_UPKP_energy_MultiStar = 30
@AOW_var_ZEF_3_UPKP_alloys_MultiStar = 30
@AOW_var_ZEF_3_ship_hull_mult = 0.1
@AOW_var_ZEF_3_ship_armor_mult = 0.1
@AOW_var_ZEF_3_army_health = 0.2
@AOW_var_ZEF_4_TIME = 3600
@AOW_var_ZEF_4_COST_alloys = 15000
@AOW_var_ZEF_4_COST_unity = 5000
@AOW_var_ZEF_4_PRDC_alloys = 1500
@AOW_var_ZEF_4_PRDC_engineering = 600
@AOW_var_ZEF_4_UPKP_energy = 300
@AOW_var_ZEF_4_UPKP_energy_MultiStar = 40
@AOW_var_ZEF_4_UPKP_alloys_MultiStar = 40
@AOW_var_ZEF_4_ship_hull_mult = 0.15
@AOW_var_ZEF_4_ship_armor_mult = 0.15
@AOW_var_ZEF_4_army_health = 0.3

#星空守护者
@AOW_var_SG_0_TIME = 1800
@AOW_var_SG_0_COST_alloys = 5000
@AOW_var_SG_0_COST_unity = 5000
@AOW_var_SG_0_UPKP_energy = 10
@AOW_var_SG_1_TIME = 3600
@AOW_var_SG_1_COST_alloys = 15000
@AOW_var_SG_1_COST_unity = 7000
@AOW_var_SG_1_UPKP_energy = 33
@AOW_var_SG_1_UPKP_alloys = 33
@AOW_var_SG_2_TIME = 2700
@AOW_var_SG_2_COST_alloys = 7500
@AOW_var_SG_2_COST_unity = 7000
@AOW_var_SG_2_UPKP_energy = 67
@AOW_var_SG_2_UPKP_alloys = 67
@AOW_var_SG_3_TIME = 2700
@AOW_var_SG_3_COST_alloys = 7500
@AOW_var_SG_3_COST_unity = 7000
@AOW_var_SG_3_UPKP_energy = 100
@AOW_var_SG_3_UPKP_alloys = 100

######################## 天外奇迹 ########################
#多维仓库
@AOW_var_MDW_0_TIME = 1800
@AOW_var_MDW_0_COST_alloys = 10000
@AOW_var_MDW_0_COST_unity = 10000
@AOW_var_MDW_0_UPKP_energy = 10
@AOW_var_MDW_1_TIME = 3600
@AOW_var_MDW_1_COST_alloys = 7500
@AOW_var_MDW_1_COST_sr = 250	#5
@AOW_var_MDW_1_COST_unity = 4000
@AOW_var_MDW_1_UPKP_energy = 25
@AOW_var_MDW_2_TIME = 3600
@AOW_var_MDW_2_COST_energy = 10000
@AOW_var_MDW_2_COST_unity = 4000
@AOW_var_MDW_2_UPKP_energy = 50
@AOW_var_MDW_2_UPKP_darkmatter = 10
@AOW_var_MDW_2_resource_max_add = 200000
@AOW_var_MDW_3_TIME = 3600
@AOW_var_MDW_3_COST_unity = 8000
@AOW_var_MDW_3_UPKP_energy = 100
@AOW_var_MDW_3_UPKP_darkmatter = 20
@AOW_var_MDW_3_resource_max_add = 400000
@AOW_var_MDW_4_UPKP_energy = 150
@AOW_var_MDW_4_UPKP_darkmatter = 30
@AOW_var_MDW_4_resource_max_add = 600000
@AOW_var_MDW_5_UPKP_energy = 200
@AOW_var_MDW_5_UPKP_darkmatter = 40
@AOW_var_MDW_5_resource_max_add = 800000
@AOW_var_MDW_6_UPKP_energy = 250
@AOW_var_MDW_6_UPKP_darkmatter = 50
@AOW_var_MDW_6_resource_max_add = 1000000

#御星天炉
@AOW_var_ST_0_TIME = 1800
@AOW_var_ST_0_COST_alloys = 10000
@AOW_var_ST_0_COST_unity = 10000
@AOW_var_ST_0_UPKP_energy = 10
@AOW_var_ST_1_TIME = 3600
@AOW_var_ST_1_COST_alloys = 20000
@AOW_var_ST_1_COST_sr = 250	#3
@AOW_var_ST_1_COST_unity = 10000
@AOW_var_ST_1_UPKP_energy = 50
@AOW_var_ST_1_UPKP_darkmatter = 12.5
@AOW_var_ST_2_TIME = 3600
@AOW_var_ST_2_COST_alloys = 20000
@AOW_var_ST_2_COST_unity = 10000
@AOW_var_ST_2_UPKP_energy = 100
@AOW_var_ST_2_UPKP_darkmatter = 25
@AOW_var_ST_3_TIME = 3600
@AOW_var_ST_3_COST_alloys = 20000
@AOW_var_ST_3_COST_unity = 10000
@AOW_var_ST_3_UPKP_energy = 150
@AOW_var_ST_3_UPKP_darkmatter = 37.5
@AOW_var_ST_4_TIME = 7200
@AOW_var_ST_4_COST_energy =20000
@AOW_var_ST_4_COST_unity = 10000
@AOW_var_ST_4_UPKP_energy = 200
@AOW_var_ST_4_UPKP_darkmatter = 50
@AOW_var_ST_5_TIME = 1800

#坠星天矛
@AOW_var_SS_0_TIME = 1800
@AOW_var_SS_0_COST_alloys = 10000
@AOW_var_SS_0_COST_unity = 10000
@AOW_var_SS_0_COST_influence = 600
@AOW_var_SS_0_UPKP_energy = 100
@AOW_var_SS_1_TIME = 5400
@AOW_var_SS_1_COST_alloys = 25000
@AOW_var_SS_1_UPKP_energy = 250
@AOW_var_SS_1_UPKP_alloys = 250
@AOW_var_SS_1_UPKP_darkmatter = 12.5
@AOW_var_SS_2_TIME = 5400
@AOW_var_SS_2_COST_alloys = 27500
@AOW_var_SS_2_UPKP_energy = 500
@AOW_var_SS_2_UPKP_alloys = 500
@AOW_var_SS_2_UPKP_darkmatter = 25
@AOW_var_SS_3_TIME = 7200
@AOW_var_SS_3_COST_alloys = 30000
@AOW_var_SS_3_UPKP_energy = 750
@AOW_var_SS_3_UPKP_alloys = 750
@AOW_var_SS_3_UPKP_darkmatter = 37.5
@AOW_var_SS_4_TIME = 3600
@AOW_var_SS_4_COST_energy = 50000
@AOW_var_SS_4_COST_alloys = 10000
@AOW_var_SS_4_UPKP_energy = 1000
@AOW_var_SS_4_UPKP_alloys = 1000
@AOW_var_SS_4_UPKP_darkmatter = 50
@AOW_var_SS_4_PRDC_menace = 500

#天界领航塔	85
@AOW_var_HNB_0_TIME = 1800
@AOW_var_HNB_0_COST_alloys = 10000
@AOW_var_HNB_0_COST_unity = 10000
@AOW_var_HNB_0_UPKP_energy = 10
@AOW_var_HNB_1_TIME = 6480
@AOW_var_HNB_1_COST_alloys = 20000
@AOW_var_HNB_1_COST_unity = 8000
@AOW_var_HNB_1_UPKP_energy = 40
@AOW_var_HNB_1_UPKP_darkmatter = 10
@AOW_var_HNB_1_ship_windup_mult = -0.1
@AOW_var_HNB_1_rb_windup_mult = -0.5
@AOW_var_HNB_1_ship_interstellar_speed_mult = 0.2
@AOW_var_HNB_1_ship_ftl_jumpdrive_range_mult = 0.2
@AOW_var_HNB_2_TIME = 6480
@AOW_var_HNB_2_COST_alloys = 20000
@AOW_var_HNB_2_COST_unity = 8000
@AOW_var_HNB_2_UPKP_energy = 80
@AOW_var_HNB_2_UPKP_darkmatter = 20
@AOW_var_HNB_2_ship_windup_mult = -0.2
@AOW_var_HNB_2_ship_interstellar_speed_mult = 0.4
@AOW_var_HNB_2_ship_ftl_jumpdrive_range_mult = 0.4
@AOW_var_HNB_3_TIME = 6480
@AOW_var_HNB_3_COST_alloys = 20000
@AOW_var_HNB_3_COST_unity = 8000
@AOW_var_HNB_3_UPKP_energy = 120
@AOW_var_HNB_3_UPKP_darkmatter = 30
@AOW_var_HNB_3_ship_windup_mult = -0.3
@AOW_var_HNB_3_ship_interstellar_speed_mult = 0.6
@AOW_var_HNB_3_ship_ftl_jumpdrive_range_mult = 0.6
@AOW_var_HNB_4_TIME = 6480
@AOW_var_HNB_4_COST_alloys = 20000
@AOW_var_HNB_4_COST_unity = 8000
@AOW_var_HNB_4_UPKP_energy = 160
@AOW_var_HNB_4_UPKP_darkmatter = 40
@AOW_var_HNB_4_ship_windup_mult = -0.4
@AOW_var_HNB_4_ship_interstellar_speed_mult = 0.8
@AOW_var_HNB_4_ship_ftl_jumpdrive_range_mult = 0.8
@AOW_var_HNB_5_TIME = 6480
@AOW_var_HNB_5_COST_energy = 20000
@AOW_var_HNB_5_COST_alloys = 20000
@AOW_var_HNB_5_COST_unity = 8000
@AOW_var_HNB_5_UPKP_energy = 200
@AOW_var_HNB_5_UPKP_darkmatter = 50
@AOW_var_HNB_5_ship_windup_mult = -0.5
@AOW_var_HNB_5_ship_interstellar_speed_mult = 1
@AOW_var_HNB_5_ship_ftl_jumpdrive_range_mult = 1

#奇迹船坞		95 3600*9=32400
@AOW_var_MS_0_TIME = 1800
@AOW_var_MS_0_COST_alloys = 10000
@AOW_var_MS_0_COST_unity = 10000
@AOW_var_MS_0_UPKP_energy = 50
@AOW_var_MS_1_TIME = 5400
@AOW_var_MS_1_COST_alloys = 20000
@AOW_var_MS_1_COST_unity = 8000
@AOW_var_MS_1_UPKP_energy = 40
@AOW_var_MS_1_UPKP_alloys = 20
@AOW_var_MS_1_UPKP_darkmatter = 10
@AOW_var_MS_1_starbase_shipyard_build_speed_mult = 0.4
@AOW_var_MS_1_country_naval_cap_add = 200
@AOW_var_MS_2_TIME = 5400
@AOW_var_MS_2_COST_alloys = 20000
@AOW_var_MS_2_COST_unity = 8000
@AOW_var_MS_2_UPKP_energy = 80
@AOW_var_MS_2_UPKP_alloys = 40
@AOW_var_MS_2_UPKP_darkmatter = 20
@AOW_var_MS_2_starbase_shipyard_build_speed_mult = 0.8
@AOW_var_MS_2_country_naval_cap_add = 400
@AOW_var_MS_3_TIME = 5400
@AOW_var_MS_3_COST_alloys = 20000
@AOW_var_MS_3_COST_unity = 8000
@AOW_var_MS_3_UPKP_energy = 120
@AOW_var_MS_3_UPKP_alloys = 60
@AOW_var_MS_3_UPKP_darkmatter = 30
@AOW_var_MS_3_starbase_shipyard_build_speed_mult = 1.2
@AOW_var_MS_3_country_naval_cap_add = 600
@AOW_var_MS_4_TIME = 5400
@AOW_var_MS_4_COST_alloys = 20000
@AOW_var_MS_4_COST_unity = 8000
@AOW_var_MS_4_UPKP_energy = 160
@AOW_var_MS_4_UPKP_alloys = 80
@AOW_var_MS_4_UPKP_darkmatter = 40
@AOW_var_MS_4_starbase_shipyard_build_speed_mult = 1.6
@AOW_var_MS_4_country_naval_cap_add = 800
@AOW_var_MS_5_TIME = 10800
@AOW_var_MS_5_COST_alloys = 25000
@AOW_var_MS_5_COST_unity = 8000
@AOW_var_MS_5_UPKP_energy = 200
@AOW_var_MS_5_UPKP_alloys = 100
@AOW_var_MS_5_UPKP_darkmatter = 50
@AOW_var_MS_5_starbase_shipyard_build_speed_mult = 2
@AOW_var_MS_5_country_naval_cap_add = 1000

#星笼世界
@AOW_var_SW_0_TIME = 1800
@AOW_var_SW_0_COST_alloys = 10000
@AOW_var_SW_0_COST_influence = 600
@AOW_var_SW_0_UPKP_energy = 10

@AOW_var_SW_1_TIME = 3600
@AOW_var_SW_1_COST_energy = 20000
@AOW_var_SW_1_COST_alloys = 10000
@AOW_var_SW_1_UPKP_energy = 20
@AOW_var_SW_1_UPKP_alloys = 20
@AOW_var_SW_1_UPKP_darkmatter = 5

@AOW_var_SW_2_TIME = 5400
@AOW_var_SW_2_COST_minerals = 40000
@AOW_var_SW_2_COST_alloys = 20000
@AOW_var_SW_2_UPKP_energy = 30
@AOW_var_SW_2_UPKP_alloys = 30
@AOW_var_SW_2_UPKP_darkmatter = 7.5

@AOW_var_SW_3_TIME = 10800
@AOW_var_SW_3_COST_minerals = 80000
@AOW_var_SW_3_COST_alloys = 40000
@AOW_var_SW_3_UPKP_energy = 90
@AOW_var_SW_3_UPKP_alloys = 90
@AOW_var_SW_3_UPKP_darkmatter = 22.5

@AOW_var_SW_4_TIME = 21600
@AOW_var_SW_4_COST_minerals = 160000
@AOW_var_SW_4_COST_alloys = 80000
@AOW_var_SW_4_UPKP_energy = 170
@AOW_var_SW_4_UPKP_alloys = 170
@AOW_var_SW_4_UPKP_darkmatter = 42.5

@AOW_var_SW_5_TIME = 3600
@AOW_var_SW_5_COST_energy = 20000
@AOW_var_SW_5_COST_alloys = 10000
@AOW_var_SW_5_UPKP_energy = 200
@AOW_var_SW_5_UPKP_alloys = 200
@AOW_var_SW_5_UPKP_darkmatter = 50

#物质重组仪
@AOW_var_MRI_0_TIME = 1800
@AOW_var_MRI_0_COST_alloys = 10000
@AOW_var_MRI_0_COST_unity = 10000
@AOW_var_MRI_0_UPKP_energy = 50

@AOW_var_MRI_1_TIME = 3600
@AOW_var_MRI_1_COST_alloys = 10000
@AOW_var_MRI_1_COST_unity = 5000
@AOW_var_MRI_1_PRDC_alloys = 5
@AOW_var_MRI_1_PRDC_consumergoods = 10
@AOW_var_MRI_1_PRDC_sr1 = 1
@AOW_var_MRI_1_PRDC_sr2 = 0.5
@AOW_var_MRI_1_PRDC_nanites = 0.25
@AOW_var_MRI_1_UPKP_energy = 5
@AOW_var_MRI_1_UPKP_minerals = 5
@AOW_var_MRI_1_UPKP_darkmatter = 5

@AOW_var_MRI_2_TIME = 5400
@AOW_var_MRI_2_COST_alloys = 15000
@AOW_var_MRI_2_COST_unity = 7500
@AOW_var_MRI_2_PRDC_alloys = 12.5
@AOW_var_MRI_2_PRDC_consumergoods = 50
@AOW_var_MRI_2_PRDC_sr1 = 2.5
@AOW_var_MRI_2_PRDC_sr2 = 1.25
@AOW_var_MRI_2_PRDC_nanites = 0.625
@AOW_var_MRI_2_UPKP_energy = 12.5
@AOW_var_MRI_2_UPKP_minerals = 12.5
@AOW_var_MRI_2_UPKP_darkmatter = 12.5

@AOW_var_MRI_3_TIME = 7200
@AOW_var_MRI_3_COST_alloys = 20000
@AOW_var_MRI_3_COST_unity = 10000
@AOW_var_MRI_3_PRDC_alloys = 22.5
@AOW_var_MRI_3_PRDC_consumergoods = 45
@AOW_var_MRI_3_PRDC_sr1 = 4.50
@AOW_var_MRI_3_PRDC_sr2 = 2.25
@AOW_var_MRI_3_PRDC_nanites = 1.125
@AOW_var_MRI_3_UPKP_energy = 22.5
@AOW_var_MRI_3_UPKP_minerals = 22.5
@AOW_var_MRI_3_UPKP_darkmatter = 17.5

@AOW_var_MRI_4_TIME = 9000
@AOW_var_MRI_4_COST_alloys = 25000
@AOW_var_MRI_4_COST_unity = 12500
@AOW_var_MRI_4_PRDC_alloys = 35
@AOW_var_MRI_4_PRDC_consumergoods = 70
@AOW_var_MRI_4_PRDC_sr1 = 7
@AOW_var_MRI_4_PRDC_sr2 = 3.5
@AOW_var_MRI_4_PRDC_nanites = 1.75
@AOW_var_MRI_4_UPKP_energy = 35
@AOW_var_MRI_4_UPKP_minerals = 35
@AOW_var_MRI_4_UPKP_darkmatter = 35

@AOW_var_MRI_5_TIME = 10800
@AOW_var_MRI_5_COST_alloys = 30000
@AOW_var_MRI_5_COST_unity = 15000
@AOW_var_MRI_5_PRDC_alloys = 50
@AOW_var_MRI_5_PRDC_consumergoods = 100
@AOW_var_MRI_5_PRDC_sr1 = 10
@AOW_var_MRI_5_PRDC_sr2 = 5
@AOW_var_MRI_5_PRDC_nanites = 2.5
@AOW_var_MRI_5_UPKP_energy = 50
@AOW_var_MRI_5_UPKP_minerals = 50
@AOW_var_MRI_5_UPKP_darkmatter = 50






#千载星辰		117.5
@AOW_var_QSQM_0_TIME = 1800	#5
@AOW_var_QSQM_1_TIME = 3600	#10	#10
@AOW_var_QSQM_2_TIME = 5400	#15	#25
@AOW_var_QSQM_3_TIME = 7200	#20	#45
@AOW_var_QSQM_4_TIME = 9000	#25	#70
@AOW_var_QSQM_5_TIME = 10800	#30	#100	#10+15+20+25+30=100
@AOW_var_QSQM_0_COST_alloys = 10000
@AOW_var_QSQM_0_COST_unity = 10000
@AOW_var_QSQM_0_UPKP_energy = 50

@AOW_var_QSQM_1_COST_alloys = 15000
@AOW_var_QSQM_2_COST_alloys = 22500
@AOW_var_QSQM_3_COST_alloys = 30000
@AOW_var_QSQM_4_COST_alloys = 37500
@AOW_var_QSQM_5_COST_alloys = 45000
@AOW_var_QSQM_1_COST_unity = 5000
@AOW_var_QSQM_2_COST_unity = 7500
@AOW_var_QSQM_3_COST_unity = 10000
@AOW_var_QSQM_4_COST_unity = 12500
@AOW_var_QSQM_5_COST_unity = 15000
@AOW_var_QSQM_1_PRDC_research = 500
@AOW_var_QSQM_2_PRDC_research = 1250
@AOW_var_QSQM_3_PRDC_research = 2250
@AOW_var_QSQM_4_PRDC_research = 3500
@AOW_var_QSQM_5_PRDC_research = 5000
@AOW_var_QSQM_1_PRDC_al = 125
@AOW_var_QSQM_2_PRDC_al = 312.5
@AOW_var_QSQM_3_PRDC_al = 562.5
@AOW_var_QSQM_4_PRDC_al = 875
@AOW_var_QSQM_5_PRDC_al = 1250
@AOW_var_QSQM_1_UPKP_alloys = 20
@AOW_var_QSQM_2_UPKP_alloys = 50
@AOW_var_QSQM_3_UPKP_alloys = 90
@AOW_var_QSQM_4_UPKP_alloys = 140
@AOW_var_QSQM_5_UPKP_alloys = 200
@AOW_var_QSQM_1_UPKP_darkmatter = 5
@AOW_var_QSQM_2_UPKP_darkmatter = 12.5
@AOW_var_QSQM_3_UPKP_darkmatter = 22.5
@AOW_var_QSQM_4_UPKP_darkmatter = 35
@AOW_var_QSQM_5_UPKP_darkmatter = 50

@AOW_var_QSQM_1_research_speed = 0.05
@AOW_var_QSQM_2_research_speed = 0.125
@AOW_var_QSQM_3_research_speed = 0.225
@AOW_var_QSQM_4_research_speed = 0.35
@AOW_var_QSQM_5_research_speed = 0.50

#千载星辰特超巨星	3
@AOW_var_QSQMhs_1_TIME = 10800
@AOW_var_QSQMhs_2_TIME = 16200
@AOW_var_QSQMhs_3_TIME = 21600
@AOW_var_QSQMhs_4_TIME = 27000
@AOW_var_QSQMhs_5_TIME = 32400

#千载星辰超巨星	2.5
@AOW_var_QSQMss_1_TIME = 9000
@AOW_var_QSQMss_2_TIME = 13500
@AOW_var_QSQMss_3_TIME = 18000
@AOW_var_QSQMss_4_TIME = 22500
@AOW_var_QSQMss_5_TIME = 27000

#千载星辰O	2.25
@AOW_var_QSQMo_1_TIME = 8100
@AOW_var_QSQMo_2_TIME = 12150
@AOW_var_QSQMo_3_TIME = 16200
@AOW_var_QSQMo_4_TIME = 20250
@AOW_var_QSQMo_5_TIME = 24300

#千载星辰B	2
@AOW_var_QSQMb_1_TIME = 7200
@AOW_var_QSQMb_2_TIME = 10800
@AOW_var_QSQMb_3_TIME = 14400
@AOW_var_QSQMb_4_TIME = 18000
@AOW_var_QSQMb_5_TIME = 21600

#千载星辰巨星	1.75
@AOW_var_QSQMgs_1_TIME = 6300
@AOW_var_QSQMgs_2_TIME = 9450
@AOW_var_QSQMgs_3_TIME = 12600
@AOW_var_QSQMgs_4_TIME = 15750
@AOW_var_QSQMgs_5_TIME = 18900

#千载星辰A	1.5
@AOW_var_QSQMa_1_TIME = 5400
@AOW_var_QSQMa_2_TIME = 8100
@AOW_var_QSQMa_3_TIME = 10800
@AOW_var_QSQMa_4_TIME = 13500
@AOW_var_QSQMa_5_TIME = 16200

#千载星辰F	1.25
@AOW_var_QSQMf_1_TIME = 4500
@AOW_var_QSQMf_2_TIME = 6750
@AOW_var_QSQMf_3_TIME = 9000
@AOW_var_QSQMf_4_TIME = 11250
@AOW_var_QSQMf_5_TIME = 13500

#千载星辰G	1
@AOW_var_QSQMg_1_TIME = 3600
@AOW_var_QSQMg_2_TIME = 5400
@AOW_var_QSQMg_3_TIME = 7200
@AOW_var_QSQMg_4_TIME = 9000
@AOW_var_QSQMg_5_TIME = 10800

#千载星辰K	0.75
@AOW_var_QSQMk_1_TIME = 2700
@AOW_var_QSQMk_2_TIME = 4050
@AOW_var_QSQMk_3_TIME = 5400
@AOW_var_QSQMk_4_TIME = 6750
@AOW_var_QSQMk_5_TIME = 8100

#千载星辰M	0.5
@AOW_var_QSQMm_1_TIME = 1800
@AOW_var_QSQMm_2_TIME = 2700
@AOW_var_QSQMm_3_TIME = 3600
@AOW_var_QSQMm_4_TIME = 4500
@AOW_var_QSQMm_5_TIME = 5400
